Date,SystemType,Species,Location,WaterTemperature,Salinity,PHLevel,DissolvedOxygen,NitrogenLevel,PhosphorusLevel,StockingDensity,FeedConversionRatio,YieldKgPerM3,MarketPrice,OperatingCosts,GrossRevenue,EconomicPotential,MarketDemandGrowth,SustainabilityScore
2019-01-16,Deep Sea Cage System,Chinook Salmon,Australia (West Coast),24.48,34.59,7.82,8.28,2.38,0.28,58.71,1.33,46.52,5.84,148.87,271.55,122.67,3.0,59.17
2018-08-08,Inland Raceway System,Giant River Prawn,Spain,19.37,35.73,6.54,3.41,2.22,0.2,93.82,1.59,23.25,4.03,58.12,93.77,35.65,2.0,89.26
2019-04-21,Inland Raceway System,European Eel,Vietnam,22.34,30.73,7.23,6.17,1.92,0.34,59.76,1.32,-5.86,4.57,-14.65,-26.81,-12.16,2.0,54.88
2022-09-06,Coastal Extensive Pond,Chinook Salmon,Chile,26.74,33.19,8.43,5.98,1.97,0.38,96.76,1.13,-54.71,5.74,-175.07,-314.27,-139.2,3.0,59.24
2018-09-13,Coastal Extensive Pond,Chinook Salmon,USA (Gulf Coast),25.69,35.51,7.44,5.55,1.76,0.23,174.31,1.16,76.88,5.29,246.03,406.92,160.89,3.0,90.11
2021-08-28,Deep Sea Cage System,Atlantic Salmon,Australia (East Coast),22.67,32.97,7.81,7.55,2.97,0.22,179.47,1.41,97.57,5.38,312.22,524.68,212.47,3.0,53.18
2019-01-12,Offshore Cage System,Tilapia (Blue),Canada (Atlantic),16.47,31.41,7.91,8.03,2.46,0.4,67.94,1.95,-83.04,3.83,-174.38,-318.03,-143.64,4.0,74.69
2019-11-09,Integrated Multi-Trophic Aquaculture (IMTA) - Offshore,White Leg Shrimp,Greece,23.69,27.14,7.91,6.13,2.35,0.31,186.13,0.9,-298.63,6.99,-1343.86,-2086.05,-742.19,3.5,87.78
2022-10-18,Reservoir Aquaculture,Atlantic Salmon,China (Southern Coast),17.96,33.49,7.96,6.49,2.24,0.35,183.88,1.41,-17.3,6.19,-55.37,-107.06,-51.69,3.0,55.5
2021-08-13,Coastal Intensive Pond,Chinook Salmon,China (Inland Provinces),25.37,33.82,6.77,6.44,2.63,0.3,112.61,1.43,-23.16,5.02,-74.1,-116.22,-42.12,3.0,66.88
2021-11-22,Coastal Intensive Pond,European Eel,Portugal,21.19,36.21,8.44,6.26,2.63,0.29,194.37,1.18,-9.84,4.08,-24.6,-40.12,-15.52,2.0,51.84
2019-05-15,Integrated Multi-Trophic Aquaculture (IMTA) - Coastal,Black Tiger Shrimp,Australia (East Coast),17.04,35.18,8.73,5.71,2.65,0.3,197.85,1.15,-112.01,7.74,-504.04,-867.37,-363.34,3.5,88.08
2021-03-09,Coastal Extensive Pond,Atlantic Salmon,USA (Hawaii),25.96,32.27,8.2,3.9,2.79,0.52,63.54,2.01,-21.23,5.36,-67.93,-113.8,-45.86,3.0,50.83
